date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-03-08,4271.886236,12.4432,148.75855367571137,0.8805970149253731,67,2740.047462686567,183583.18,19,48,1,-0.0548004328358209,0.39583333332508686,63.7594960597015,10787.67734457143,81,Extreme Greed,Greed,Mar
2024-03-09,9949.501624,25.01825,154.56552113291943,0.8290598290598291,117,5625.459401709401,658178.75,83,34,1,0.015827042735042738,2.441176470516436,85.03847541880343,11031.285946714286,84,Extreme Greed,Greed,Mar
2024-03-10,2482.9272,2.505,207.7542700001469,0.6904761904761905,42,5237.472619047619,219973.85,38,4,1,0.05431123809523809,9.499999997625,59.117314285714286,11353.004032428571,79,Extreme Greed,Greed,Mar
2024-03-11,3588.179495,18.72521,196.10462239183906,0.9285714285714286,42,4202.844047619047,176519.44999999998,12,30,1,0.2017354761904762,0.3999999999866667,85.43284511904761,10671.160210999999,82,Extreme Greed,Greed,Mar
2024-03-12,3039.166,16.76285,521.6006618377291,0.875,8,12880.10625,103040.85,1,7,1,0.618244125,0.1428571428367347,379.89575,7133.930247857143,81,Extreme Greed,Greed,Mar
2024-03-13,0.0,0.0,0.0,0.0,7,857.2571428571428,6000.799999999999,7,0,1,0.30003971428571424,7000000000.0,0.0,4306.640813428571,81,Extreme Greed,Greed,Mar
2024-03-14,3465.865832,50.144227,254.30826281723253,0.8888888888888888,18,11440.732222222221,205933.18,2,16,2,0.6509328888888889,0.1249999999921875,192.5481017777778,3828.218055285714,88,Extreme Greed,Greed,Mar
2024-03-15,6236.513651,24.1152,195.43403376403242,0.6612903225806451,62,5675.71629032258,351894.41,26,36,3,0.7981452096774193,0.7222222222021606,100.58892985483871,4108.8791145714285,83,Extreme Greed,Greed,Mar
2024-03-16,228.57984,0.0,80.815177453268,0.125,8,4652.9575,37223.66,5,3,2,1.316035,1.6666666661111111,28.57248,2720.1760025714284,81,Extreme Greed,Greed,Mar
2024-03-17,503.293955,0.0,43.52556412856168,0.43478260869565216,23,4326.389130434783,99506.95,18,5,3,1.4679708260869564,3.59999999928,21.882345869565217,2437.371253285714,79,Extreme Greed,Greed,Mar
2024-03-18,1456.9577,0.0,275.58147845163944,0.3157894736842105,19,4760.951578947369,90458.08,13,6,3,1.3128042105263156,2.1666666663055554,76.68198421052631,2132.910996857143,77,Extreme Greed,Greed,Mar
2024-03-19,668.797973,0.0,103.69610917201797,0.20833333333333334,24,9161.868333333334,219884.84,17,7,3,1.0828463333333334,2.42857142822449,27.86658220833333,1794.286993,79,Extreme Greed,Greed,Mar
2024-03-20,6423.134599,14.004,320.69467412818193,0.8695652173913043,69,3126.171739130435,215705.85,29,40,2,0.5779541739130435,0.724999999981875,93.08890723188406,2711.87765,74,Greed,Greed,Mar
2024-03-21,2335.5080749999997,27.4342,153.73594964500796,0.8214285714285714,28,4210.556071428572,117895.57,26,2,3,0.5855267857142857,12.9999999935,83.41100267857142,2550.3979704285716,78,Extreme Greed,Greed,Mar
2024-03-24,1297.018477,35.104212,84.64288646631248,0.7894736842105263,19,4873.274210526315,92592.20999999999,15,4,1,0.4678335263157895,3.7499999990625,68.26413036842105,1844.7558027142857,74,Greed,Greed,Mar
2024-03-25,1302.916428,149.807117,173.14631124356953,0.8571428571428571,7,8159.4742857142855,57116.32,0,7,1,2.855816,0.0,186.13091828571427,1998.232458142857,75,Extreme Greed,Greed,Mar
2024-03-26,3215.906593,18.078525,39.504335702364344,0.9322033898305084,118,1682.7558474576272,198565.19,8,110,2,0.238537313559322,0.07272727272661157,27.253445703389833,2385.7485492857145,81,Extreme Greed,Greed,Mar
2024-03-27,150.41114,0.0,13.739361367709469,0.3157894736842105,38,2628.020789473684,99864.79,19,19,2,0.8346829473684211,0.9999999999473684,3.9581878947368416,2199.099040714286,83,Extreme Greed,Greed,Mar
2024-03-28,227.85100799999998,12.233936,21.04651492781009,0.6923076923076923,13,2717.209230769231,35323.72,12,1,2,0.6968637692307692,11.999999987999999,17.527000615384615,2136.106617142857,80,Extreme Greed,Greed,Mar
2024-03-29,883.097404,0.0,95.5086831563824,0.4,15,5794.291333333333,86914.37,9,6,1,2.028002,1.49999999975,58.873160266666666,1344.672732142857,79,Extreme Greed,Greed,Mar
2024-03-30,1100.57514,10.11075,52.44350104198017,0.9777777777777777,45,2246.753777777778,101103.92,1,44,1,0.22087675555555555,0.0227272727267562,24.45722533333333,1168.2537414285714,75,Extreme Greed,Greed,Mar
2024-03-31,912.786145,16.0695,112.05139600499244,0.7692307692307693,13,3070.2276923076925,39912.96,0,13,1,1.0745786153846155,0.0,70.21431884615384,1113.3634082857145,75,Extreme Greed,Greed,Mar
2024-04-01,2507.963406,0.54675,92.06770180124278,0.5324675324675324,77,4408.7074025974025,339470.47,33,44,2,1.087680025974026,0.7499999999829546,32.57095332467532,1285.5129765714285,79,Extreme Greed,Greed,Apr
2024-04-02,883.760812,0.0,78.23542802217051,0.2926829268292683,41,5845.475853658536,239664.50999999998,10,31,2,1.9544530243902436,0.32258064515088447,21.555141756097562,952.3492935714286,79,Extreme Greed,Greed,Apr
2024-04-03,126.7884,0.0,63.3942,0.25,4,4221.8925,16887.57,3,1,2,0.41530025,2.9999999969999998,31.6971,948.9746164285715,71,Greed,Greed,Apr
2024-04-04,0.0,0.0,0.0,0.0,32,2999.6165625,95987.73,0,32,1,1.0498651562499999,0.0,0.0,916.4244724285714,70,Greed,Greed,Apr
2024-04-05,10706.484306,8.978760000000001,304.1028007265851,0.9,100,5037.918,503791.8,17,83,3,1.03430138,0.20481927710596604,107.06484306,2319.7654584285715,79,Extreme Greed,Greed,Apr
2024-04-06,236.33513399999998,0.0,42.149058574016486,0.25,16,4263.979375,68223.67,0,16,1,1.4923923125,0.0,14.770945874999999,2196.3026004285716,75,Extreme Greed,Greed,Apr
